,type,category,review,star,date,option,0,1,2
71,헤트라스,별점,향좋고 배송빨라요 만족합니다.,평점3,22.08.03.,대용량 디퓨저 선택: 2개입 / 향 선택: 북스토어 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 2개입 , 향 선택: 북스토어 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
72,헤트라스,별점,아버님 사드렸는데 향이 좋아요,평점3,22.10.16.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 제주사려니숲길 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 제주사려니숲길 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
73,헤트라스,별점,향 짓속력은 좋지않지만 좋아요,평점3,22.12.02.,대용량 디퓨저 선택: 5개입 / 향 선택: 2. 그린세트 5개입 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 5개입 , 향 선택: 2. 그린세트 5개입 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
74,헤트라스,별점,발향력이 생각보다 별로네요ㅠ,평점3,22.11.15.,수량 선택: 2개입 / 향 선택: 허그솝 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 허그솝 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
75,헤트라스,별점,선물해줬는데 친구가 좋아해요,평점3,22.06.12.,수량 선택: 2개입 / 향 선택: 북스토어 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 북스토어 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
76,헤트라스,별점,배송빠르고좋네요 마니파세요,평점3,22.10.07.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 블랙체리 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 블랙체리 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
77,헤트라스,별점,향이 너무 약하고 흔해요ㅠㅠ,평점3,22.03.06.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 북스토어 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 북스토어 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
78,헤트라스,별점,지속력이 좀 떨어지네요 ㅠㅠ,평점3,21.09.05.,대용량 디퓨저 선택: 2개입 / 향 선택: 그레이프프루트 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 2개입 , 향 선택: 그레이프프루트 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
79,헤트라스,별점,플라워샵은 향이 강하고 오래갔는데 블랙체리는 향이 나지 않네요...아쉽...,평점3,22.10.19.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 라튤립샤워 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 라튤립샤워 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
80,헤트라스,별점,꽃집항은 쏘쏘했습니다 ㅜㅜ,평점3,22.06.04.,[수량 선택]2개입 [향기] 플라워샵,[수량 선택]2개입 [향기] 플라워샵,,
81,헤트라스,별점,생각만큼 향이 강하진않네요,평점3,22.10.18.,대용량 디퓨저 수량 선택: 3개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 3개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
